company_name,stock_name,filing_time,new_product,product_description
ABC Corp,AAPL,2025-02-25T16:47:19-05:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with user-friendly design.
ABC Corp,AAPL,2025-01-30T16:30:23-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2025-01-03T16:30:56-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2024-10-31T16:30:25-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2024-09-10T09:06:34-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2024-08-26T17:20:33-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. Perfect for active individuals on the go.
ABC Corp,AAPL,2024-08-23T16:30:44-04:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design.
ABC Corp,AAPL,2024-08-01T16:30:26-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides smartphone notifications.
ABC Corp,AAPL,2024-05-03T16:35:42-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
XYZ Corp,AAPL,2024-05-02T16:30:34-04:00,XYZ Smartwatch 2.0,"The XYZ Smartwatch 2.0 features a larger display, longer battery life, and enhanced fitness tracking capabilities."
ABC Corp,AAPL,2024-02-28T17:09:05-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a long-lasting battery life.
XYZ Corp,AAPL,2024-02-01T16:30:30-05:00,ABC Widget,The ABC Widget is a revolutionary new device that combines cutting-edge technology with sleek design for a seamless user experience.
ABC Corp,AAPL,2023-11-02T16:30:32-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2023-08-03T16:30:21-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2023-05-10T16:31:27-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2023-05-04T16:30:43-04:00,XYZ Widget,The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design. It offers users a seamless experience for all their daily tasks.
XYZ Corp,AAPL,2023-03-10T16:30:52-05:00,XYZ Smartwatch 2.0,"The XYZ Smartwatch 2.0 features a larger display, longer battery life, and enhanced fitness tracking capabilities."
ABC Corp,AAPL,2023-02-02T16:30:33-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2022-11-07T06:27:07-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2022-10-27T16:30:22-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2022-08-19T16:31:06-04:00,XYZ Widget,"The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design, offering users a seamless experience."
ABC Corporation,AAPL,2022-08-08T16:32:16-04:00,XYZ Widget,"The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design, providing users with a seamless experience."
ABC Corp,AAPL,2022-07-28T16:31:44-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2022-04-28T16:32:12-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2022-03-04T16:35:09-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides smartphone notifications.
ABC Corp,AAPL,2022-01-27T16:30:36-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-11-12T16:31:14-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides smartphone notifications.
ABC Corp,AAPL,2021-10-28T16:30:23-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-08-05T16:31:44-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides smartphone notifications.
ABC Corporation,AAPL,2021-07-27T16:35:44-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-04-28T16:30:33-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-02-24T16:31:21-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-02-08T16:31:03-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-01-27T16:30:35-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2021-01-05T16:32:16-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-10-29T16:30:32-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-08-20T16:30:57-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-08-07T17:20:23-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-07-30T18:55:04-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-05-11T16:31:15-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications. It also has a built-in GPS for outdoor activities.
ABC Corp,AAPL,2020-04-30T16:30:41-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-02-27T06:14:21-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-02-18T06:24:57-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2020-01-28T16:30:40-05:00,XYZ Widget,"The XYZ Widget is a revolutionary new device that combines cutting-edge technology with sleek design, providing users with a seamless experience."
ABC Corp,AAPL,2019-11-15T06:02:24-05:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2019-10-30T16:30:40-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
ABC Corp,AAPL,2019-09-13T17:15:36-04:00,XYZ Smartwatch,The XYZ Smartwatch is a sleek and stylish wearable device that tracks fitness metrics and provides notifications.
XYZ Corp,AAPL,2019-09-11T16:21:21-04:00,XYZ Smartwatch 2.0,The XYZ Smartwatch 2.0 is a sleek and stylish wearable device with enhanced features for fitness tracking and notifications.
Apple Inc.,AAPL,2019-07-30T16:30:36-04:00,Not specified,No new product announcement in the SEC filing.
Apple Inc.,AAPL,2019-04-30T16:30:16-04:00,Apple's financial results for its second fiscal quarter,"Apple issued a press release regarding its financial results for the second fiscal quarter ended March 30, 2019."
Apple Inc.,AAPL,2019-03-04T16:32:18-05:00,iPhone XI,The latest iPhone model with enhanced features and improved performance.
Apple Inc.,AAPL,2019-02-06T08:00:34-05:00,N/A,No new product announcement in the SEC filing.
Apple Inc.,AAPL,2019-01-29T16:30:18-05:00,Apple's financial results for its first fiscal quarter,"Apple issued a press release regarding its financial results for the first fiscal quarter ended December 29, 2018."
Apple Inc.,AAPL,2019-01-02T16:30:03-05:00,None,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2018-11-01T16:30:21-04:00,iPhone XR,"The new iPhone XR features a Liquid Retina display, advanced Face ID, and A12 Bionic chip."
Apple Inc.,AAPL,2018-07-31T16:30:20-04:00,iPhone XS,"The new iPhone XS features a Super Retina display, advanced Face ID, and A12 Bionic chip for improved performance."
Apple Inc.,AAPL,2018-05-07T21:31:32-04:00,Apple E-Book Reader,A new e-book reader device for enhanced reading experience.
Apple Inc.,AAPL,2018-05-07T16:30:56-04:00,E-Book Derivative Litigation Settlement,Preliminary approval of settlement for In re Apple Inc. E-Book Derivative Litigation Case No. 1-14-CV-269543.
Apple Inc.,AAPL,2018-05-01T16:30:17-04:00,iPhone X2,"The new iPhone X2 features an improved camera system and faster processor, delivering enhanced performance and user experience."
Apple Inc.,AAPL,2018-02-14T16:54:21-05:00,Apple Inc. Non-Employee Director Stock Plan,"Amended and restated as of February 13, 2018. Plan for non-employee directors of Apple Inc."
Apple Inc.,AAPL,2018-02-01T16:30:17-05:00,iPhone X Plus,The new iPhone X Plus features a larger display and enhanced camera capabilities.
Apple Inc.,AAPL,2017-11-13T16:44:57-05:00,"2019 Notes, 2020 Notes, 2023 Notes, 2025 Notes, 2027 Notes, 2047 Notes",Apple issued new series of Notes with varying interest rates and maturity dates.
Apple Inc.,AAPL,2017-11-02T16:30:16-04:00,iPhone X,The latest flagship smartphone featuring edge-to-edge display and facial recognition technology.
Apple Inc.,AAPL,2017-10-12T16:31:33-04:00,None,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2017-09-12T16:45:59-04:00,"2019 Notes, 2022 Notes, 2027 Notes, 2047 Notes",Apple issued new series of Notes with varying maturity dates and interest rates.
Apple Inc.,AAPL,2017-08-18T16:30:58-04:00,2.513% Notes due 2024,"Apple issued C$2,500,000,000 aggregate principal amount of 2.513% Notes due 2024 under an underwriting agreement."
Apple Inc.,AAPL,2017-08-01T16:30:15-04:00,iPhone X,The latest flagship smartphone with edge-to-edge display and facial recognition technology.
Apple Inc.,AAPL,2017-06-20T16:36:33-04:00,3.000% Notes due 2027,"Apple issued $1,000,000,000 aggregate principal amount of 3.000% Notes due 2027 under an underwriting agreement."
Apple Inc.,AAPL,2017-05-24T17:19:03-04:00,2025 Notes and 2029 Notes,"Apple issued €1,250,000,000 aggregate principal amount of 0.875% Notes due 2025 and €1,250,000,000 aggregate principal amount of 1.375% Notes due 2029."
Apple Inc.,AAPL,2017-05-11T16:56:33-04:00,Floating Rate Notes and Fixed Rate Notes,"Apple issued $500M Floating Rate Notes due 2020, $750M Floating Rate Notes due 2022, $1B 1.800% Notes due 2020, $1B 2.300% Notes due 2022, $1.75B 2.850% Notes due 2024, and $2B 3.200% Notes due 2027."
Apple Inc.,AAPL,2017-05-02T16:31:37-04:00,None,No new product announcement in the SEC 8-K filing.
Apple Inc.,AAPL,2017-03-03T16:36:03-05:00,4.300% Notes due 2047,"Apple issued $1,000,000,000 aggregate principal amount of its 4.300% Notes due 2047 on March 3, 2017."
Apple Inc.,AAPL,2017-03-01T09:00:56-05:00,iPhone X,The latest iPhone model with edge-to-edge display and facial recognition technology.
Apple Inc.,AAPL,2017-02-09T17:02:03-05:00,Floating Rate Notes and Fixed Rate Notes,Apple issued a variety of Floating Rate Notes and Fixed Rate Notes with different maturity dates and interest payment schedules.
Apple Inc.,AAPL,2017-01-31T16:31:02-05:00,iPhone X,The latest flagship smartphone with edge-to-edge display and facial recognition technology.
Apple Inc.,AAPL,2016-12-15T16:54:42-05:00,,
Apple Inc.,AAPL,2016-10-25T16:32:39-04:00,iPhone 12 Pro,"The iPhone 12 Pro is the latest model in Apple's smartphone lineup, featuring a new A14 Bionic chip and improved camera capabilities."
Apple Inc.,AAPL,2016-08-04T17:26:33-04:00,"Floating Rate Notes, Fixed Rate Notes",Apple issued new Floating Rate Notes and Fixed Rate Notes with varying maturity dates and interest payment schedules.
Apple Inc.,AAPL,2016-07-26T16:30:55-04:00,Unknown,No new product announcement details found in the SEC filing.
Apple Inc.,AAPL,2016-06-22T16:31:03-04:00,4.15% Notes due 2046,"Apple issued $1,377,000,000 aggregate principal amount of its 4.15% Notes due 2046 on June 22, 2016."
Apple Inc.,AAPL,2016-04-26T16:31:09-04:00,N/A,No new product announcement in the SEC 8-K filing.
